Agent 1 | Tick: 210 - ['']
Agent 1 | Tick: 211 - ['']
Agent 1 | Tick: 212 - ['']
Agent 1 | Tick: 213 - ['']
Agent 1 | Tick: 214 - ['']
Agent 1 | Tick: 215 - ['u', 'r']
Agent 0 | Tick: 141 - ['']
Agent 0 | Tick: 142 - ['u', 'r', 'r', 'd']
Agent 1 | Tick: 216 - ['r']
Agent 1 | Tick: 217 - ['r', 'r', 'r', 'r', 'r']
Agent 0 | Tick: 143 - ['']
Agent 0 | Tick: 144 - ['']
Agent 0 | Tick: 145 - ['']
Agent 1 | Tick: 218 - ['d', 'd', 'd', 'd', 'r', 'd', 'd', 'l', 'p']
Agent 0 | Tick: 146 - ['u', 'r', 'u', 'u', 'l']
Agent 0 | Tick: 147 - ['d', 'd', 'd']
Agent 0 | Tick: 148 - ['u']
Agent 1 | Tick: 219 - ['u', 'u', 'u', 'r', 'r', 'r', 'u', 'u', 'p']
Agent 0 | Tick: 149 - ['u', 'u']
Agent 0 | Tick: 150 - ['u']
Agent 0 | Tick: 151 - ['u']
Agent 0 | Tick: 152 - ['u']
Agent 0 | Tick: 153 - ['r']
Agent 0 | Tick: 154 - ['d', 'r', 'r', 'u', 'r']
Agent 1 | Tick: 220 - ['d', 'd', 'l', 'l', 'u', 'l', 'u', 'p']
Agent 0 | Tick: 155 - ['r']
Agent 0 | Tick: 156 - ['r']
Agent 0 | Tick: 157 - ['r']
Agent 0 | Tick: 158 - ['l', 'l', 'l']
Agent 0 | Tick: 159 - ['']
Agent 1 | Tick: 221 - ['u', 'l']
Agent 0 | Tick: 160 - ['']
Agent 0 | Tick: 161 - ['r', 'r']
Agent 1 | Tick: 222 - ['r']
Agent 1 | Tick: 223 - ['r', 'r', 'p']
Agent 0 | Tick: 162 - ['r']
Agent 0 | Tick: 163 - ['r']
Agent 1 | Tick: 224 - ['u', 'r', 'p']
Agent 0 | Tick: 164 - ['l', 'l', 'l', 'd', 'l', 'l', 'd', 'd', 'r', 'r', 'd', 'r', 'r']
Agent 1 | Tick: 225 - ['l']
Agent 1 | Tick: 226 - ['l']
Agent 1 | Tick: 227 - ['d', 'l', 'l', 'd', 'd', 'r', 'r']
Agent 1 | Tick: 228 - ['r']
Agent 1 | Tick: 229 - ['l', 'l', 'u', 'u', 'r', 'r', 'u', 'r', 'r', 'p']
Agent 0 | Tick: 165 - ['u', 'r']
Agent 0 | Tick: 166 - ['r']
Agent 0 | Tick: 167 - ['l', 'l', 'l', 'd']
Agent 0 | Tick: 168 - ['r', 'r', 'r']
Agent 0 | Tick: 169 - ['d', 'd', 'd', 'd', 'd', 'd', 'l', 'd', 'd', 'r', 'd', 'r']
Agent 1 | Tick: 230 - ['u']
Agent 1 | Tick: 231 - ['l', 'l', 'd', 'd', 'r', 'r']
Agent 1 | Tick: 232 - ['r', 'd', 'd', 'd', 'd', 'l', 'l', 'u', 'l', 'u', 'u', 'l', 'u']
Agent 0 | Tick: 170 - ['d', 'd', 'd', 'l', 'd', 'd', 'r', 'd', 'r']
Agent 1 | Tick: 233 - ['d', 'r', 'r', 'r', 'd', 'r', 'p']
Agent 0 | Tick: 171 - ['r']
Agent 0 | Tick: 172 - ['u', 'l', 'l', 'u', 'l']
Agent 0 | Tick: 173 - ['l']
Agent 1 | Tick: 234 - ['d', 'd', 'l', 'l', 'u', 'l', 'l', 'l', 'l']
Agent 0 | Tick: 174 - ['']
Agent 0 | Tick: 175 - ['']
Agent 0 | Tick: 176 - ['u', 'u', 'u', 'u', 'l', 'l', 'l']
Agent 1 | Tick: 235 - ['l']
Agent 0 | Tick: 177 - ['d', 'd', 'r', 'd', 'r', 'r', 'r']
Agent 1 | Tick: 236 - ['']
Agent 1 | Tick: 237 - ['']
Agent 1 | Tick: 238 - ['']
Agent 1 | Tick: 239 - ['']
Agent 1 | Tick: 240 - ['']
Agent 1 | Tick: 241 - ['']
Agent 1 | Tick: 242 - ['']
Agent 0 | Tick: 178 - ['d', 'r', 'r']
Agent 1 | Tick: 243 - ['']
Agent 1 | Tick: 244 - ['']
Agent 1 | Tick: 245 - ['']
Agent 0 | Tick: 179 - ['d', 'd', 'd', 'l', 'l', 'l']
Agent 1 | Tick: 246 - ['']
Agent 1 | Tick: 247 - ['']
Agent 1 | Tick: 248 - ['']
Agent 1 | Tick: 249 - ['']
Agent 1 | Tick: 250 - ['']
Agent 1 | Tick: 251 - ['']
