Tick: 227 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 228 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 229 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 230 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 231 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 232 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 233 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 234 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 235 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 236 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 237 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 238 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 239 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 240 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 241 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 242 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 243 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 244 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 245 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 246 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 247 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 248 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 249 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 250 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 251 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 252 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 253 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 254 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 255 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 256 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 257 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 258 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 259 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 260 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 261 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 262 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 263 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
